Year,Company,Area,Mortality_rate
2022,Bakkafrost,Faroes,"4,91"
2021,Bakkafrost,Faroes,"8,24"
2020,Bakkafrost,Faroes,"10,29"
2019,Bakkafrost,Faroes,"4,57"
2018,Bakkafrost,Faroes,"11,56"
2017,Bakkafrost,Faroes,"8,96"
2022,Bakkafrost,Scotland,"23,16"
2021,Bakkafrost,Scotland,"21,71"
2020,Bakkafrost,Scotland,"11,43"
2022,Grieg Seafood,Rogaland,8
2021,Grieg Seafood,Rogaland,8
2020,Grieg Seafood,Rogaland,10
2019,Grieg Seafood,Rogaland,7
2018,Grieg Seafood,Rogaland,8
2017,Grieg Seafood,Rogaland,9
2016,Grieg Seafood,Rogaland,7
2022,Grieg Seafood,Finnmark,9
2021,Grieg Seafood,Finnmark,5
2020,Grieg Seafood,Finnmark,8
2019,Grieg Seafood,Finnmark,4
2018,Grieg Seafood,Finnmark,4
2017,Grieg Seafood,Finnmark,5
2016,Grieg Seafood,Finnmark,6
2022,Grieg Seafood,British Columbia,9
2021,Grieg Seafood,British Columbia,10
2020,Grieg Seafood,British Columbia,8
2019,Grieg Seafood,British Columbia,12
2018,Grieg Seafood,British Columbia,12
2017,Grieg Seafood,British Columbia,7
2016,Grieg Seafood,British Columbia,10
2019,Grieg Seafood,Shetland,11
2018,Grieg Seafood,Shetland,17
2017,Grieg Seafood,Shetland,11
2016,Grieg Seafood,Shetland,17
2019,Multiexport,NA,"10,8"
2018,Multiexport,NA,"9,7"
2017,Multiexport,NA,"8,3"
2022,Blumar,NA,"7,26"
2021,Blumar,NA,"2,73"
2020,Blumar,NA,"7,44"
2019,Blumar,NA,"3,34"
2018,Blumar,NA,"3,95"
2017,Blumar,NA,4
2016,Blumar,NA,"7,13"
2015,Blumar,NA,5
2014,Blumar,NA,"4,18"
2022,Cermaq,NA,"6,2"
2021,Cermaq,NA,"5,2"
2020,Cermaq,NA,"5,7"
2019,Cermaq,NA,0
2018,Cermaq,NA,"5,5"
2017,Cermaq,NA,"5,3"
2016,Cermaq,NA,7
2015,Cermaq,NA,"6,3"
2014,Cermaq,NA,"6,8"
2013,Cermaq,NA,"6,4"
2012,Cermaq,NA,"7,3"
2011,Cermaq,NA,"8,4"
2022,Camanchaca,NA,"4,6"
2021,Camanchaca,NA,"15,7"
2020,Camanchaca,NA,"8,6"
2019,Camanchaca,NA,"4,8"
2018,Camanchaca,NA,"2,8"
2017,Camanchaca,NA,"3,2"
2016,Camanchaca,NA,"17,8"
2015,Camanchaca,NA,"6,6"
2014,Camanchaca,NA,"3,1"
2013,Camanchaca,NA,"4,7"
2022,Nova Sea,NA,"4,18"
2021,Nova Sea,NA,"2,74"
2020,Nova Sea,NA,"2,65"
2019,Nova Sea,NA,"2,95"
2018,Nova Sea,NA,"3,91"
2017,Nova Sea,NA,"2,8"
2016,Nova Sea,NA,"2,9"
2015,Nova Sea,NA,"3,21"
2022,Salmones Austral,NA,"5,73"
2021,Salmones Austral,NA,"2,55"
2020,Salmones Austral,NA,"2,67"
2019,Salmones Austral,NA,"2,1"
2018,Salmones Austral,NA,"1,8"
2022,Australis Seafood,NA,"3,23"
2021,Australis Seafood,NA,"3,13"
2020,Australis Seafood,NA,"2,93"
2019,Australis Seafood,NA,"3,62"
2018,Australis Seafood,NA,"3,98"
2017,Australis Seafood,NA,"3,5"
2016,Australis Seafood,NA,"4,16"
2022,AquaChile,NA,"6,74"
2021,AquaChile,NA,"9,2"
2020,AquaChile,NA,"9,29"
2022,MOWI,NA,"9,1886638"
2021,MOWI,NA,"9,1886638"
2020,MOWI,NA,"14,5315492"
2019,MOWI,NA,"16,5868032"
2018,MOWI,NA,"14,5315492"
2017,MOWI,NA,"18,596662"
2016,MOWI,NA,"19,5848542"
2015,MOWI,NA,"15,5649083"
2014,MOWI,NA,"11,3615128"
2013,MOWI,NA,"9,1886638"
2012,MOWI,NA,"9,1886638"
2022,Salmar,Norway,"5,4"
2021,Salmar,Norway,5
2020,Salmar,Norway,"4,4"
2019,Salmar,Norway,"4,7"
2018,Salmar,Norway,"5,9"
2017,Salmar,Norway,"6,2"
2016,Salmar,Norway,"11,8"
2015,Salmar,Norway,"10,8"
2014,Salmar,Norway,"10,1"
2013,Salmar,Norway,"12,9"
2022,Salmar,Iceland,"10,3"
2021,Salmar,Iceland,"6,7"
2020,Salmar,Iceland,"9,5"
2019,Salmar,Iceland,"8,8"
2022,Leroy Seafood,NA,"7,5"
2021,Leroy Seafood,NA,"7,5"
2020,Leroy Seafood,NA,"7,8"
2019,Leroy Seafood,NA,"6,6"
2018,Leroy Seafood,NA,"6,1"
2017,Leroy Seafood,NA,"8,2"
2016,Leroy Seafood,NA,"7,8"
2015,Leroy Seafood,NA,7
2014,Leroy Seafood,NA,"7,4"
