Année,Tonnes de saumons produits en élevage,Pays
1972,0,Islande
1972,0,Finlande
1972,0,Chili
1972,0,Canada
1973,401,Royaume-Uni
1973,0,Suède
1973,171,Norvège
1973,0,Corée du Nord
1973,0,Irlande
1973,0,Islande
1973,0,Finlande
1973,0,Chili
1973,0,Canada
1974,372,Royaume-Uni
1974,0,Suède
1974,601,Norvège
1974,0,Corée du Nord
1974,1,Irlande
1974,0,Islande
1974,0,Finlande
1974,0,Chili
1974,0,Canada
1975,393,Royaume-Uni
1975,0,Suède
1975,862,Norvège
1975,0,Corée du Nord
1975,2,Irlande
1975,1,Islande
1975,0,Finlande
1975,0,Chili
1975,0,Canada
1976,209,Royaume-Uni
1976,0,Suède
1976,1431,Norvège
1976,0,Corée du Nord
1976,5,Irlande
1976,5,Islande
1976,0,Finlande
1976,1,Îles Féroé
1976,0,Chili
1976,0,Canada
1977,115,Royaume-Uni
1977,5,Suède
1977,2137,Norvège
1977,0,Corée du Nord
1977,10,Irlande
1977,8,Islande
1977,0,Finlande
1977,2,Îles Féroé
1977,0,Chili
1977,0,Canada
1978,378,Royaume-Uni
1978,10,Suède
1978,3540,Norvège
1978,0,Corée du Nord
1978,10,Irlande
1978,13,Islande
1978,0,Finlande
1978,5,Îles Féroé
1978,0,Chili
1978,0,Canada
1979,520,Royaume-Uni
1979,15,Suède
1979,4389,Norvège
1979,0,Corée du Nord
1979,13,Irlande
1979,19,Islande
1979,0,Finlande
1979,0,Chili
1979,5,Canada
1980,598,Royaume-Uni
1980,30,Suède
1980,4312,Norvège
1980,0,Corée du Nord
1980,21,Irlande
1980,27,Islande
1980,251,Finlande
1980,22,Îles Féroé
1980,0,Chili
1980,27,Canada
1981,1133,Royaume-Uni
1981,0,Turquie
1981,50,Suède
1981,8418,Norvège
1981,0,Corée du Nord
1981,35,Irlande
1981,39,Islande
1981,312,Finlande
1981,45,Îles Féroé
1981,0,Chili
1981,76,Canada
1982,2152,Royaume-Uni
1982,0,Turquie
1982,50,Suède
1982,10695,Norvège
1982,0,Corée du Nord
1982,100,Irlande
1982,56,Islande
1982,9,Finlande
1982,60,Îles Féroé
1982,0,Chili
1982,143,Canada
1983,2536,Royaume-Uni
1983,0,Turquie
1983,75,Suède
1983,17298,Norvège
1983,0,Corée du Nord
1983,257,Irlande
1983,79,Islande
1983,235,Finlande
1983,90,Îles Féroé
1983,0,Chili
1983,68,Canada
1984,3912,Royaume-Uni
1984,0,Turquie
1984,118,Suède
1984,150,Espagne
1984,21881,Norvège
1984,0,Corée du Nord
1984,385,Irlande
1984,107,Islande
1984,93,Finlande
1984,117,Îles Féroé
1984,0,Chili
1984,222,Canada
1985,6921,Royaume-Uni
1985,0,Turquie
1985,81,Suède
1985,150,Espagne
1985,29473,Norvège
1985,0,Corée du Nord
1985,700,Irlande
1985,91,Islande
1985,92,Finlande
1985,940,Îles Féroé
1985,0,Chili
1985,349,Canada
1986,8,États-Unis
1986,10337,Royaume-Uni
1986,0,Turquie
1986,160,Suède
1986,150,Espagne
1986,44831,Norvège
1986,0,Corée du Nord
1986,1215,Irlande
1986,123,Islande
1986,93,Finlande
1986,1370,Îles Féroé
1986,0,Chili
1986,682,Canada
1986,10,Australie
1987,113,États-Unis
1987,12721,Royaume-Uni
1987,0,Turquie
1987,224,Suède
1987,150,Espagne
1987,46453,Norvège
1987,0,Corée du Nord
1987,2300,Irlande
1987,490,Islande
1987,3,Grèce
1987,11,Finlande
1987,3193,Îles Féroé
1987,41,Chili
1987,1385,Canada
1987,62,Australie
1988,898,États-Unis
1988,17951,Royaume-Uni
1988,0,Turquie
1988,363,Suède
1988,150,Espagne
1988,0,Portugal
1988,78744,Norvège
1988,0,Corée du Nord
1988,4075,Irlande
1988,1053,Islande
1988,11,Grèce
1988,117,Finlande
1988,3400,Îles Féroé
1988,165,Chili
1988,3431,Canada
1988,240,Australie
1989,2554,États-Unis
1989,28603,Royaume-Uni
1989,0,Turquie
1989,771,Suède
1989,150,Espagne
1989,100,Portugal
1989,111337,Norvège
1989,0,Corée du Nord
1989,5500,Irlande
1989,1480,Islande
1989,19,Grèce
1989,71,Finlande
1989,7901,Îles Féroé
1989,1860,Chili
1989,5967,Canada
1989,1750,Australie
1990,3185,États-Unis
1990,32004,Royaume-Uni
1990,300,Turquie
1990,602,Suède
1990,355,Espagne
1990,120,Portugal
1990,145990,Norvège
1990,0,Corée du Nord
1990,6323,Irlande
1990,2716,Islande
1990,12,Grèce
1990,157,Finlande
1990,13025,Îles Féroé
1990,9478,Chili
1990,9625,Canada
1990,1750,Australie
1991,6661,États-Unis
1991,40657,Royaume-Uni
1991,1500,Turquie
1991,270,Suède
1991,553,Espagne
1991,100,Portugal
1991,154900,Norvège
1991,0,Corée du Nord
1991,9300,Irlande
1991,2566,Islande
1991,33,Grèce
1991,574,France
1991,146,Finlande
1991,17914,Îles Féroé
1991,14957,Chili
1991,13499,Canada
1991,2653,Australie
1992,10028,États-Unis
1992,36302,Royaume-Uni
1992,680,Turquie
1992,388,Suède
1992,782,Espagne
1992,0,Fédération de Russie
1992,0,Portugal
1992,124138,Norvège
1992,0,Corée du Nord
1992,9696,Irlande
1992,2125,Islande
1992,20,Grèce
1992,600,France
1992,85,Finlande
1992,18364,Îles Féroé
1992,23715,Chili
1992,17305,Canada
1992,3300,Australie
1993,10750,États-Unis
1993,48791,Royaume-Uni
1993,791,Turquie
1993,4,Suède
1993,562,Espagne
1993,0,Fédération de Russie
1993,0,Portugal
1993,155581,Norvège
1993,0,Corée du Nord
1993,12366,Irlande
1993,2348,Islande
1993,30,Grèce
1993,564,France
1993,0,Finlande
1993,17660,Îles Féroé
1993,29180,Chili
1993,23483,Canada
1993,3500,Australie
1994,10906,États-Unis
1994,64266,Royaume-Uni
1994,434,Turquie
1994,7,Suède
1994,909,Espagne
1994,0,Fédération de Russie
1994,0,Portugal
1994,202459,Norvège
1994,0,Corée du Nord
1994,11616,Irlande
1994,2588,Islande
1994,74,Grèce
1994,856,France
1994,0,Finlande
1994,14868,Îles Féroé
1994,34175,Chili
1994,27773,Canada
1994,4000,Australie
1995,14075,États-Unis
1995,70322,Royaume-Uni
1995,654,Turquie
1995,19,Suède
1995,695,Espagne
1995,0,Fédération de Russie
1995,0,Portugal
1995,261522,Norvège
1995,0,Corée du Nord
1995,11811,Irlande
1995,2591,Islande
1995,7,Grèce
1995,894,France
1995,0,Finlande
1995,8539,Îles Féroé
1995,54250,Chili
1995,33674,Canada
1995,6192,Australie
1996,13906,États-Unis
1996,83344,Royaume-Uni
1996,193,Turquie
1996,12,Suède
1996,726,Espagne
1996,0,Fédération de Russie
1996,4,Portugal
1996,297557,Norvège
1996,0,Corée du Nord
1996,14025,Irlande
1996,2832,Islande
1996,9,Grèce
1996,800,France
1996,0,Finlande
1996,17049,Îles Féroé
1996,77327,Chili
1996,36475,Canada
1996,7647,Australie
1997,18005,États-Unis
1997,99422,Royaume-Uni
1997,50,Turquie
1997,0,Suède
1997,851,Espagne
1997,0,Fédération de Russie
1997,250,Portugal
1997,332581,Norvège
1997,0,Corée du Nord
1997,15441,Irlande
1997,2513,Islande
1997,12,Grèce
1997,950,France
1997,0,Finlande
1997,21103,Îles Féroé
1997,96675,Chili
1997,51015,Canada
1997,7648,Australie
1998,14507,États-Unis
1998,110917,Royaume-Uni
1998,40,Turquie
1998,0,Suède
1998,798,Espagne
1998,0,Fédération de Russie
1998,360806,Norvège
1998,0,Corée du Nord
1998,14860,Irlande
1998,2742,Islande
1998,11,Grèce
1998,760,France
1998,0,Finlande
1998,19176,Îles Féroé
1998,107066,Chili
1998,49475,Canada
1998,7069,Australie
1999,17739,États-Unis
1999,126686,Royaume-Uni
1999,0,Turquie
1999,0,Suède
1999,618,Espagne
1999,5,Fédération de Russie
1999,425154,Norvège
1999,0,Corée du Nord
1999,18076,Irlande
1999,2900,Islande
1999,9,Grèce
1999,750,France
1999,0,Finlande
1999,39252,Îles Féroé
1999,103242,Chili
1999,61990,Canada
1999,9195,Australie
2000,22395,États-Unis
2000,128959,Royaume-Uni
2000,0,Turquie
2000,0,Suède
2000,226,Espagne
2000,0,Fédération de Russie
2000,440061,Norvège
2000,0,Corée du Nord
2000,17648,Irlande
2000,2593,Islande
2000,17,Grèce
2000,102,France
2000,0,Finlande
2000,33508,Îles Féroé
2000,166897,Chili
2000,72495,Canada
2000,10907,Australie
2001,20769,États-Unis
2001,138519,Royaume-Uni
2001,0,Turquie
2001,0,Suède
2001,323,Espagne
2001,0,Fédération de Russie
2001,436103,Norvège
2001,0,Corée du Nord
2001,23312,Irlande
2001,2645,Islande
2001,23,Grèce
2001,90,France
2001,0,Finlande
2001,46041,Îles Féroé
2001,253850,Chili
2001,95606,Canada
2001,12724,Australie
2002,12734,États-Unis
2002,145609,Royaume-Uni
2002,0,Turquie
2002,0,Suède
2002,152,Espagne
2002,0,Fédération de Russie
2002,462495,Norvège
2002,0,Corée du Nord
2002,23231,Irlande
2002,1471,Islande
2002,28,Grèce
2002,443,France
2002,0,Finlande
2002,44953,Îles Féroé
2002,15,Danemark
2002,265726,Chili
2002,114921,Canada
2002,14356,Australie
2003,16315,États-Unis
2003,145609,Royaume-Uni
2003,0,Turquie
2003,0,Suède
2003,27,Espagne
2003,300,Fédération de Russie
2003,509544,Norvège
2003,0,Corée du Nord
2003,16347,Irlande
2003,3708,Islande
2003,9,Grèce
2003,544,France
2003,0,Finlande
2003,52526,Îles Féroé
2003,16,Danemark
2003,280301,Chili
2003,107228,Canada
2003,15208,Australie
2004,15127,États-Unis
2004,158099,Royaume-Uni
2004,0,Turquie
2004,0,Suède
2004,15,Espagne
2004,203,Fédération de Russie
2004,563815,Norvège
2004,0,Corée du Nord
2004,14067,Irlande
2004,6624,Islande
2004,7,Grèce
2004,735,France
2004,0,Finlande
2004,40985,Îles Féroé
2004,16,Danemark
2004,348983,Chili
2004,96774,Canada
2004,16476,Australie
2005,9401,États-Unis
2005,129823,Royaume-Uni
2005,0,Turquie
2005,0,Suède
2005,0,Espagne
2005,204,Fédération de Russie
2005,586512,Norvège
2005,0,Corée du Nord
2005,13764,Irlande
2005,6488,Islande
2005,6,Grèce
2005,1190,France
2005,0,Finlande
2005,18962,Îles Féroé
2005,18,Danemark
2005,385779,Chili
2005,98370,Canada
2005,16780,Australie
2006,10485,États-Unis
2006,131973,Royaume-Uni
2006,0,Turquie
2006,0,Suède
2006,2,Espagne
2006,229,Fédération de Russie
2006,629888,Norvège
2006,0,Corée du Nord
2006,11174,Irlande
2006,5224,Islande
2006,11,Grèce
2006,1391,France
2006,0,Finlande
2006,13078,Îles Féroé
2006,18,Danemark
2006,376476,Chili
2006,118061,Canada
2006,20710,Australie
2007,11001,États-Unis
2007,130104,Royaume-Uni
2007,0,Turquie
2007,0,Suède
2007,0,Espagne
2007,111,Fédération de Russie
2007,744222,Norvège
2007,0,Corée du Nord
2007,9923,Irlande
2007,1197,Islande
2007,8,Grèce
2007,1100,France
2007,0,Finlande
2007,22305,Îles Féroé
2007,16,Danemark
2007,331042,Chili
2007,102509,Canada
2007,25336,Australie
2008,16714,États-Unis
2008,128744,Royaume-Uni
2008,0,Turquie
2008,10,Suède
2008,0,Espagne
2008,51,Fédération de Russie
2008,737694,Norvège
2008,9217,Irlande
2008,330,Islande
2008,8,Grèce
2008,1335,France
2008,0,Finlande
2008,38494,Îles Féroé
2008,11,Danemark
2008,388847,Chili
2008,104075,Canada
2008,"25736,9",Australie
2009,14074,États-Unis
2009,144663,Royaume-Uni
2009,0,Turquie
2009,0,Suède
2009,110,Espagne
2009,2126,Fédération de Russie
2009,"862907,7",Norvège
2009,10,Corée du Nord
2009,12210,Irlande
2009,714,Islande
2009,22,Grèce
2009,0,Finlande
2009,51383,Îles Féroé
2009,"1,9",Danemark
2009,233308,Chili
2009,100212,Canada
2009,"0,33",Bulgarie
2009,29893,Australie
2010,19535,États-Unis
2010,154633,Royaume-Uni
2010,0,Turquie
2010,0,Suède
2010,"79,2",Espagne
2010,4500,Fédération de Russie
2010,939536,Norvège
2010,10,Corée du Nord
2010,15691,Irlande
2010,1068,Islande
2010,10,Grèce
2010,0,Finlande
2010,45391,Îles Féroé
2010,15,Danemark
2010,123233,Chili
2010,101544,Canada
2010,"31806,79",Australie
2011,18595,États-Unis
2011,"158309,5",Royaume-Uni
2011,0,Turquie
2011,0,Suède
2011,0,Espagne
2011,8500,Fédération de Russie
2011,1064868,Norvège
2011,15,Corée du Nord
2011,12196,Irlande
2011,1083,Islande
2011,0,Grèce
2011,0,Finlande
2011,60473,Îles Féroé
2011,10,Danemark
2011,264349,Chili
2011,110328,Canada
2011,"36662,04",Australie
2012,19295,États-Unis
2012,162547,Royaume-Uni
2012,0,Turquie
2012,0,Suède
2012,4,Espagne
2012,8754,Fédération de Russie
2012,"1232094,9",Norvège
2012,15,Corée du Nord
2012,12440,Irlande
2012,2923,Islande
2012,0,Grèce
2012,0,Finlande
2012,76564,Îles Féroé
2012,"0,2",Danemark
2012,399678,Chili
2012,116101,Canada
2012,43982,Australie
2013,18866,États-Unis
2013,163240,Royaume-Uni
2013,0,Turquie
2013,6,Suède
2013,0,Espagne
2013,22500,Fédération de Russie
2013,1168324,Norvège
2013,15,Corée du Nord
2013,"9124,9",Irlande
2013,3018,Islande
2013,0,Grèce
2013,0,Finlande
2013,75821,Îles Féroé
2013,10,Danemark
2013,492329,Chili
2013,97629,Canada
2013,"42825,01",Australie
2014,18719,États-Unis
2014,179028,Royaume-Uni
2014,8,Suède
2014,"3,8",Espagne
2014,18675,Fédération de Russie
2014,"1258355,9",Norvège
2014,20,Corée du Nord
2014,"9367,6",Irlande
2014,3965,Islande
2014,0,Grèce
2014,0,Finlande
2014,86454,Îles Féroé
2014,405,Danemark
2014,644459,Chili
2014,86347,Canada
2014,"41590,66",Australie
2015,18719,États-Unis
2015,171731,Royaume-Uni
2015,"7,785",Espagne
2015,10834,Fédération de Russie
2015,"1303345,8",Norvège
2015,20,Corée du Nord
2015,13116,Irlande
2015,3260,Islande
2015,0,Grèce
2015,0,Finlande
2015,80600,Îles Féroé
2015,428,Danemark
2015,608546,Chili
2015,121926,Canada
2015,"48330,56",Australie
2016,16185,États-Unis
2016,162820,Royaume-Uni
2016,1,Suède
2016,"5,162",Espagne
2016,12857,Fédération de Russie
2016,"1233619,2",Norvège
2016,20,Corée du Nord
2016,16300,Irlande
2016,8420,Islande
2016,0,Grèce
2016,0,Finlande
2016,83300,Îles Féroé
2016,1289,Danemark
2016,532225,Chili
2016,123522,Canada
2016,"56115,197",Australie
2017,14685,États-Unis
2017,189707,Royaume-Uni
2017,"24,39",Espagne
2017,13016,Fédération de Russie
2017,1236353,Norvège
2017,50,Corée du Nord
2017,18342,Irlande
2017,11265,Islande
2017,0,Grèce
2017,0,Finlande
2017,86800,Îles Féroé
2017,807,Danemark
2017,"614180,46",Chili
2017,120553,Canada
2017,"52580,2",Australie
2018,16107,États-Unis
2018,156025,Royaume-Uni
2018,100,Suisse
2018,20566,Fédération de Russie
2018,"1282003,2",Norvège
2018,60,Corée du Nord
2018,11984,Irlande
2018,13448,Islande
2018,0,Finlande
2018,78900,Îles Féroé
2018,1030,Danemark
2018,"661138,39",Chili
2018,123184,Canada
2018,61227,Australie
2019,"16490,52",États-Unis
2019,203881,Royaume-Uni
2019,"159,4",Suisse
2019,"11,606",Espagne
2019,32343,Fédération de Russie
2019,"1364042,038",Norvège
2019,60,Corée du Nord
2019,11333,Irlande
2019,26957,Islande
2019,0,Finlande
2019,95000,Îles Féroé
2019,"1462,53",Danemark
2019,701984,Chili
2019,118630,Canada
2019,"56989,34",Australie
2020,"16490,52",États-Unis
2020,192129,Royaume-Uni
2020,300,Émirats Arabes Unis
2020,"159,4",Suisse
2020,10855,Fédération de Russie
2020,"1388433,84",Norvège
2020,60,Corée du Nord
2020,12870,Irlande
2020,34341,Islande
2020,88950,Îles Féroé
2020,1940,Danemark
2020,787131,Chili
2020,120427,Canada
2020,"66918,495",Australie
2021,"16490,52",États-Unis
2021,205000,Royaume-Uni
2021,180,Émirats Arabes Unis
2021,160,Suisse
2021,14959,Fédération de Russie
2021,"1562415,01",Norvège
2021,60,Corée du Nord
2021,12844,Irlande
2021,46458,Islande
2021,115650,Îles Féroé
2021,1668,Danemark
2021,725280,Chili
2021,120186,Canada
2021,"84045,234",Australie
