Year,Tonnes - live weight,Country
1950,0,United Kingdom
1950,0,Sweden
1950,0,Norway
1950,0,"Korea, Dem. People's Rep"
1950,0,Ireland
1950,0,Finland
1950,0,Canada
1951,0,United Kingdom
1951,0,Sweden
1951,0,Norway
1951,0,"Korea, Dem. People's Rep"
1951,0,Ireland
1951,0,Finland
1951,0,Canada
1952,0,United Kingdom
1952,0,Sweden
1952,0,Norway
1952,0,"Korea, Dem. People's Rep"
1952,0,Ireland
1952,0,Finland
1952,0,Canada
1953,0,United Kingdom
1953,0,Sweden
1953,0,Norway
1953,0,"Korea, Dem. People's Rep"
1953,0,Ireland
1953,0,Finland
1953,0,Canada
1954,0,United Kingdom
1954,0,Sweden
1954,0,Norway
1954,0,"Korea, Dem. People's Rep"
1954,0,Ireland
1954,0,Finland
1954,0,Canada
1955,0,United Kingdom
1955,0,Sweden
1955,0,Norway
1955,0,"Korea, Dem. People's Rep"
1955,0,Ireland
1955,0,Finland
1955,0,Canada
1956,0,United Kingdom
1956,0,Sweden
1956,0,Norway
1956,0,"Korea, Dem. People's Rep"
1956,0,Ireland
1956,0,Finland
1956,0,Canada
1957,0,United Kingdom
1957,0,Sweden
1957,0,Norway
1957,0,"Korea, Dem. People's Rep"
1957,0,Ireland
1957,0,Finland
1957,0,Canada
1958,0,United Kingdom
1958,0,Sweden
1958,0,Norway
1958,0,"Korea, Dem. People's Rep"
1958,0,Ireland
1958,0,Finland
1958,0,Canada
1959,0,United Kingdom
1959,0,Sweden
1959,0,Norway
1959,0,"Korea, Dem. People's Rep"
1959,0,Ireland
1959,0,Finland
1959,0,Canada
1960,0,United Kingdom
1960,0,Sweden
1960,0,Norway
1960,0,"Korea, Dem. People's Rep"
1960,0,Ireland
1960,0,Finland
1960,0,Canada
1961,0,United Kingdom
1961,0,Sweden
1961,0,Norway
1961,0,"Korea, Dem. People's Rep"
1961,0,Ireland
1961,0,Finland
1961,0,Canada
1962,0,United Kingdom
1962,0,Sweden
1962,0,Norway
1962,0,"Korea, Dem. People's Rep"
1962,0,Ireland
1962,0,Finland
1962,0,Canada
1963,0,United Kingdom
1963,0,Sweden
1963,0,Norway
1963,0,"Korea, Dem. People's Rep"
1963,0,Ireland
1963,0,Finland
1963,0,Canada
1964,0,United Kingdom
1964,0,Sweden
1964,1,Norway
1964,0,"Korea, Dem. People's Rep"
1964,0,Ireland
1964,0,Finland
1964,0,Canada
1965,0,United Kingdom
1965,0,Sweden
1965,2,Norway
1965,0,"Korea, Dem. People's Rep"
1965,0,Ireland
1965,0,Finland
1965,0,Canada
1966,0,United Kingdom
1966,0,Sweden
1966,4,Norway
1966,0,"Korea, Dem. People's Rep"
1966,0,Ireland
1966,0,Finland
1966,0,Canada
1967,0,United Kingdom
1967,0,Sweden
1967,8,Norway
1967,0,"Korea, Dem. People's Rep"
1967,0,Ireland
1967,0,Finland
1967,0,Canada
1968,0,United Kingdom
1968,0,Sweden
1968,15,Norway
1968,0,"Korea, Dem. People's Rep"
1968,0,Ireland
1968,0,Finland
1968,0,Canada
1969,0,United Kingdom
1969,0,Sweden
1969,27,Norway
1969,0,"Korea, Dem. People's Rep"
1969,0,Ireland
1969,0,Finland
1969,0,Canada
1970,244,United Kingdom
1970,0,Sweden
1970,50,Norway
1970,0,"Korea, Dem. People's Rep"
1970,0,Ireland
1970,0,Iceland
1970,0,Finland
1970,0,Chile
1970,0,Canada
1971,216,United Kingdom
1971,0,Sweden
1971,98,Norway
1971,0,"Korea, Dem. People's Rep"
1971,0,Ireland
1971,0,Iceland
1971,0,Finland
1971,0,Chile
1971,0,Canada
1972,213,United Kingdom
1972,0,Sweden
1972,146,Norway
1972,0,"Korea, Dem. People's Rep"
1972,0,Ireland
1972,0,Iceland
1972,0,Finland
1972,0,Chile
1972,0,Canada
1973,401,United Kingdom
1973,0,Sweden
1973,171,Norway
1973,0,"Korea, Dem. People's Rep"
1973,0,Ireland
1973,0,Iceland
1973,0,Finland
1973,0,Chile
1973,0,Canada
1974,372,United Kingdom
1974,0,Sweden
1974,601,Norway
1974,0,"Korea, Dem. People's Rep"
1974,1,Ireland
1974,0,Iceland
1974,0,Finland
1974,0,Chile
1974,0,Canada
1975,393,United Kingdom
1975,0,Sweden
1975,862,Norway
1975,0,"Korea, Dem. People's Rep"
1975,2,Ireland
1975,1,Iceland
1975,0,Finland
1975,0,Chile
1975,0,Canada
1976,209,United Kingdom
1976,0,Sweden
1976,1431,Norway
1976,0,"Korea, Dem. People's Rep"
1976,5,Ireland
1976,5,Iceland
1976,0,Finland
1976,1,Faroe Islands
1976,0,Chile
1976,0,Canada
1977,115,United Kingdom
1977,5,Sweden
1977,2137,Norway
1977,0,"Korea, Dem. People's Rep"
1977,10,Ireland
1977,8,Iceland
1977,0,Finland
1977,2,Faroe Islands
1977,0,Chile
1977,0,Canada
1978,378,United Kingdom
1978,10,Sweden
1978,3540,Norway
1978,0,"Korea, Dem. People's Rep"
1978,10,Ireland
1978,13,Iceland
1978,0,Finland
1978,5,Faroe Islands
1978,0,Chile
1978,0,Canada
1979,520,United Kingdom
1979,15,Sweden
1979,4389,Norway
1979,0,"Korea, Dem. People's Rep"
1979,13,Ireland
1979,19,Iceland
1979,0,Finland
1979,0,Chile
1979,5,Canada
1980,598,United Kingdom
1980,30,Sweden
1980,4312,Norway
1980,0,"Korea, Dem. People's Rep"
1980,21,Ireland
1980,27,Iceland
1980,251,Finland
1980,22,Faroe Islands
1980,0,Chile
1980,27,Canada
1981,1133,United Kingdom
1981,0,Türkiye
1981,50,Sweden
1981,8418,Norway
1981,0,"Korea, Dem. People's Rep"
1981,35,Ireland
1981,39,Iceland
1981,312,Finland
1981,45,Faroe Islands
1981,0,Chile
1981,76,Canada
1982,2152,United Kingdom
1982,0,Türkiye
1982,50,Sweden
1982,10695,Norway
1982,0,"Korea, Dem. People's Rep"
1982,100,Ireland
1982,56,Iceland
1982,9,Finland
1982,60,Faroe Islands
1982,0,Chile
1982,143,Canada
1983,2536,United Kingdom
1983,0,Türkiye
1983,75,Sweden
1983,17298,Norway
1983,0,"Korea, Dem. People's Rep"
1983,257,Ireland
1983,79,Iceland
1983,235,Finland
1983,90,Faroe Islands
1983,0,Chile
1983,68,Canada
1984,3912,United Kingdom
1984,0,Türkiye
1984,118,Sweden
1984,150,Spain
1984,21881,Norway
1984,0,"Korea, Dem. People's Rep"
1984,385,Ireland
1984,107,Iceland
1984,93,Finland
1984,117,Faroe Islands
1984,0,Chile
1984,222,Canada
1985,6921,United Kingdom
1985,0,Türkiye
1985,81,Sweden
1985,150,Spain
1985,29473,Norway
1985,0,"Korea, Dem. People's Rep"
1985,700,Ireland
1985,91,Iceland
1985,92,Finland
1985,940,Faroe Islands
1985,0,Chile
1985,349,Canada
1986,8,United States of America
1986,10337,United Kingdom
1986,0,Türkiye
1986,160,Sweden
1986,150,Spain
1986,44831,Norway
1986,0,"Korea, Dem. People's Rep"
1986,1215,Ireland
1986,123,Iceland
1986,93,Finland
1986,1370,Faroe Islands
1986,0,Chile
1986,682,Canada
1986,10,Australia
1987,113,United States of America
1987,12721,United Kingdom
1987,0,Türkiye
1987,224,Sweden
1987,150,Spain
1987,46453,Norway
1987,0,"Korea, Dem. People's Rep"
1987,2300,Ireland
1987,490,Iceland
1987,3,Greece
1987,11,Finland
1987,3193,Faroe Islands
1987,41,Chile
1987,1385,Canada
1987,62,Australia
1988,898,United States of America
1988,17951,United Kingdom
1988,0,Türkiye
1988,363,Sweden
1988,150,Spain
1988,0,Portugal
1988,78744,Norway
1988,0,"Korea, Dem. People's Rep"
1988,4075,Ireland
1988,1053,Iceland
1988,11,Greece
1988,117,Finland
1988,3400,Faroe Islands
1988,165,Chile
1988,3431,Canada
1988,240,Australia
1989,2554,United States of America
1989,28603,United Kingdom
1989,0,Türkiye
1989,771,Sweden
1989,150,Spain
1989,100,Portugal
1989,111337,Norway
1989,0,"Korea, Dem. People's Rep"
1989,5500,Ireland
1989,1480,Iceland
1989,19,Greece
1989,71,Finland
1989,7901,Faroe Islands
1989,1860,Chile
1989,5967,Canada
1989,1750,Australia
1990,3185,United States of America
1990,32004,United Kingdom
1990,300,Türkiye
1990,602,Sweden
1990,355,Spain
1990,120,Portugal
1990,145990,Norway
1990,0,"Korea, Dem. People's Rep"
1990,6323,Ireland
1990,2716,Iceland
1990,12,Greece
1990,157,Finland
1990,13025,Faroe Islands
1990,9478,Chile
1990,9625,Canada
1990,1750,Australia
1991,6661,United States of America
1991,40657,United Kingdom
1991,1500,Türkiye
1991,270,Sweden
1991,553,Spain
1991,100,Portugal
1991,154900,Norway
1991,0,"Korea, Dem. People's Rep"
1991,9300,Ireland
1991,2566,Iceland
1991,33,Greece
1991,574,France
1991,146,Finland
1991,17914,Faroe Islands
1991,14957,Chile
1991,13499,Canada
1991,2653,Australia
1992,10028,United States of America
1992,36302,United Kingdom
1992,680,Türkiye
1992,388,Sweden
1992,782,Spain
1992,0,Russian Federation
1992,0,Portugal
1992,124138,Norway
1992,0,"Korea, Dem. People's Rep"
1992,9696,Ireland
1992,2125,Iceland
1992,20,Greece
1992,600,France
1992,85,Finland
1992,18364,Faroe Islands
1992,23715,Chile
1992,17305,Canada
1992,3300,Australia
1993,10750,United States of America
1993,48791,United Kingdom
1993,791,Türkiye
1993,4,Sweden
1993,562,Spain
1993,0,Russian Federation
1993,0,Portugal
1993,155581,Norway
1993,0,"Korea, Dem. People's Rep"
1993,12366,Ireland
1993,2348,Iceland
1993,30,Greece
1993,564,France
1993,0,Finland
1993,17660,Faroe Islands
1993,29180,Chile
1993,23483,Canada
1993,3500,Australia
1994,10906,United States of America
1994,64266,United Kingdom
1994,434,Türkiye
1994,7,Sweden
1994,909,Spain
1994,0,Russian Federation
1994,0,Portugal
1994,202459,Norway
1994,0,"Korea, Dem. People's Rep"
1994,11616,Ireland
1994,2588,Iceland
1994,74,Greece
1994,856,France
1994,0,Finland
1994,14868,Faroe Islands
1994,34175,Chile
1994,27773,Canada
1994,4000,Australia
1995,14075,United States of America
1995,70322,United Kingdom
1995,654,Türkiye
1995,19,Sweden
1995,695,Spain
1995,0,Russian Federation
1995,0,Portugal
1995,261522,Norway
1995,0,"Korea, Dem. People's Rep"
1995,11811,Ireland
1995,2591,Iceland
1995,7,Greece
1995,894,France
1995,0,Finland
1995,8539,Faroe Islands
1995,54250,Chile
1995,33674,Canada
1995,6192,Australia
1996,13906,United States of America
1996,83344,United Kingdom
1996,193,Türkiye
1996,12,Sweden
1996,726,Spain
1996,0,Russian Federation
1996,4,Portugal
1996,297557,Norway
1996,0,"Korea, Dem. People's Rep"
1996,14025,Ireland
1996,2832,Iceland
1996,9,Greece
1996,800,France
1996,0,Finland
1996,17049,Faroe Islands
1996,77327,Chile
1996,36475,Canada
1996,7647,Australia
1997,18005,United States of America
1997,99422,United Kingdom
1997,50,Türkiye
1997,0,Sweden
1997,851,Spain
1997,0,Russian Federation
1997,250,Portugal
1997,332581,Norway
1997,0,"Korea, Dem. People's Rep"
1997,15441,Ireland
1997,2513,Iceland
1997,12,Greece
1997,950,France
1997,0,Finland
1997,21103,Faroe Islands
1997,96675,Chile
1997,51015,Canada
1997,7648,Australia
1998,14507,United States of America
1998,110917,United Kingdom
1998,40,Türkiye
1998,0,Sweden
1998,798,Spain
1998,0,Russian Federation
1998,360806,Norway
1998,0,"Korea, Dem. People's Rep"
1998,14860,Ireland
1998,2742,Iceland
1998,11,Greece
1998,760,France
1998,0,Finland
