Tonnes (Millions),Usage,Alimentaire/non alimentaire
70,Alimentation Humaine,Alimentaire
5,"fins ornementales,  alevins,  appât,  usages pharmaceutiques,  alimentation directe en aquaculture",Non Alimentaire
"8,55",Farines et huile de poisson pour la pisciculture,Non Alimentaire
"3,3",Farines et huile de poisson pour le secteur porcin,Non Alimentaire
"2,1",Farines et huile de poisson pour le secteur avicole,Non Alimentaire
"1,5",Farines et huile de poisson pour l’alimentation d’animaux domestiques ou d’élevages de fourrure et autres utilisations,Non Alimentaire
,,
Tonnes (Million),Use,End use
70,Human consumption,Human consumption
5,"Ornamental purposes, fry, bait, pharmaceutical uses, direct feed in aquaculture",Other
"8,55",Fishmeal and fish oil for aquaculture,Other
"3,3",Fishmeal and fish oil for the pig sector,Other
"2,1",Fishmeal and fish oil for the poultry sector,Other
"1,5",Fishmeal and fish oil for feeding pets or fur farming and other uses,Other
